ProductName,SKU,UnitPrice,StockQuantity,IsDiscontinued
Laptop Dell XPS 15,DLL-XPS15-001,4500.00,10,0
iPhone 14 Pro,APL-IP14P-002,3200.00,25,0
Samsung Galaxy S23,SMS-S23-003,2800.00,30,0
Logitech MX Master 3,LOG-MXM3-004,350.00,50,0
USB-C Charging Cable,USBC-CBL-005,25.00,200,0
MacBook Pro 16,APL-MBP16-006,5200.00,8,0
AirPods Pro,APL-APP-007,650.00,40,0
Samsung SSD 1TB,SMS-SSD1TB-008,420.00,60,0
Dell 27 Monitor,DEL-MON27-009,1100.00,20,0
HP Mechanical Keyboard,HP-KB-010,280.00,35,0
Asus Gaming Mouse,ASU-MOU-011,190.00,70,0
Lenovo ThinkPad X1,LEN-X1-012,4800.00,12,0
iPad Air,APL-IPAD-013,1900.00,18,0
Sony WH-1000XM5,SNY-XM5-014,900.00,22,0
Razer Headset,RZR-HS-015,500.00,25,0
External HDD 2TB,EXT-HDD-016,300.00,55,0
Webcam Logitech C920,LOG-C920-017,250.00,45,0
Smartwatch Galaxy,SMS-WAT-018,1200.00,28,0
Apple Watch Series 8,APL-W8-019,1600.00,24,0
Gaming Chair SecretLab,SCL-CHR-020,2100.00,10,0
Microphone Blue Yeti,BLU-YET-021,450.00,33,0
Router TP-Link,TP-RTR-022,180.00,40,0
Power Bank 20k,PB-20K-023,120.00,75,0
Tablet Samsung Tab S8,SMS-TAB-024,2300.00,15,0
Graphics Tablet Wacom,WCM-GT-025,900.00,18,0
Standing Desk Flexi,FLEX-DESK-026,1700.00,9,0
Desk Lamp LED,LED-LMP-027,90.00,120,0
USB Hub Anker,ANK-HUB-028,110.00,80,0
VR Headset Meta,VR-MTA-029,2600.00,7,0
NAS Storage Synology,SYN-NAS-030,3500.00,5,0
